Model,Train Acc,Test Acc,Precision,Recall,F1,AUC-ROC,Fit Time (s)
Logistic Regression,0.8427555950463709,0.8451799200355398,0.16604938271604938,0.8621794871794872,0.2784679089026915,0.9275424203806626,0.08755135536193848
Decision Tree,0.9996112622868885,0.9684584629053754,0.5482758620689655,0.5096153846153846,0.5282392026578073,0.7474186033133916,0.26347827911376953
Random Forest,0.9923918476148165,0.9726788094180364,0.6187050359712231,0.5512820512820513,0.5830508474576271,0.9461940761914875,1.6223623752593994
XGBoost,0.9585716665741101,0.9436916925810751,0.3533834586466165,0.7532051282051282,0.481064483111566,0.9493182649533317,0.4376082420349121
LightGBM,0.9965846615205198,0.9724566859173701,0.5941176470588235,0.6474358974358975,0.6196319018404908,0.9419776658760782,2.8920483589172363
PyTorch MLP,0.8227078358416171,0.8277432252332296,0.1525518788558609,0.8717948717948718,0.25966587112171835,0.9175357977273532,3.5990445613861084
